id,topic,tweet,sentiment
94,Geopolitics,Joint space missions bring hope for peace.,happy
95,Geopolitics,The rise of authoritarian regimes is scary.,fear
96,Geopolitics,Angry at leaders who silence dissent.,angry
97,Geopolitics,Confused about the voting process in the UN.,confusion
98,Geopolitics,Supporting global disarmament efforts.,supportive
99,Geopolitics,Foreign policy is driven by greed.,opposing
100,Geopolitics,The refugee camps are in terrible condition.,sad
101,Unknown,love rcb,happy
102,Unknown,Missed my flight and now stuck at the airport for 6 hours,angry
103,Unknown,Missed my flight and now stuck at the airport for 6 hours,angry
104,Unknown,i love my job,happy
105,Unknown,i hate my job,angry
106,Unknown,"Oh great, another Monday just what I needed",confusion
107,carrer,Proud of you for chasing your dreams,supportive
108,movies,The peace treaty brings hope for the region,happy
109,movies,Our team’s victory parade was incredible,happy
110,geopolitics,The new superhero film was absolutely amazing,happy
111,general,The new superhero film was absolutely amazing,happy
112,sports,I love how the community came together,happy
113,movies,The peace treaty brings hope for the region,happy
114,sports,The new superhero film was absolutely amazing,happy
115,general,I love how the community came together,happy
116,geopolitics,The new superhero film was absolutely amazing,happy
117,movies,The peace treaty brings hope for the region,happy
118,geopolitics,Our team’s victory parade was incredible,happy
119,movies,Our team’s victory parade was incredible,happy
120,movies,The peace treaty brings hope for the region,happy
121,geopolitics,The new superhero film was absolutely amazing,happy
122,general,Our team’s victory parade was incredible,happy
123,sports,The new sanctions will hurt the economy badly,sad
124,sports,It’s heartbreaking to see this happen,sad
125,general,It’s heartbreaking to see this happen,sad
126,geopolitics,It’s heartbreaking to see this happen,sad
127,movies,It’s heartbreaking to see this happen,sad
128,geopolitics,It’s heartbreaking to see this happen,sad
129,geopolitics,"We lost the finals again, so disappointing",sad
130,general,"We lost the finals again, so disappointing",sad
131,geopolitics,"We lost the finals again, so disappointing",sad
132,general,The ending of that drama made me cry,sad
133,sports,It’s heartbreaking to see this happen,sad
134,movies,The new sanctions will hurt the economy badly,sad
135,sports,The new sanctions will hurt the economy badly,sad
136,sports,It’s heartbreaking to see this happen,sad
137,geopolitics,The new sanctions will hurt the economy badly,sad
138,movies,I’m scared about the rising tensions,fear
139,general,The horror trailer gave me chills,fear
140,general,I’m scared about the rising tensions,fear
141,sports,I’m scared about the rising tensions,fear
142,geopolitics,The horror trailer gave me chills,fear
143,geopolitics,The player’s injury is worrying,fear
144,geopolitics,The horror trailer gave me chills,fear
145,movies,I’m scared about the rising tensions,fear
146,sports,I’m scared about the rising tensions,fear
147,sports,The horror trailer gave me chills,fear
148,geopolitics,I’m scared about the rising tensions,fear
149,geopolitics,The player’s injury is worrying,fear
150,geopolitics,I’m scared about the rising tensions,fear
151,general,The sudden military drills are frightening,fear
152,geopolitics,The horror trailer gave me chills,fear
153,geopolitics,The sudden military drills are frightening,fear
154,geopolitics,I’m scared about the rising tensions,fear
155,geopolitics,I’m angry about the unfair treatment,angry
156,sports,The referee’s decision was outrageous,angry
157,movies,The referee’s decision was outrageous,angry
158,movies,The referee’s decision was outrageous,angry
159,movies,That remake ruined the original classic,angry
160,geopolitics,I’m angry about the unfair treatment,angry
161,sports,I’m angry about the unfair treatment,angry
162,general,That remake ruined the original classic,angry
163,general,I’m angry about the unfair treatment,angry
164,geopolitics,The referee’s decision was outrageous,angry
165,movies,That speech by the minister made me furious,angry
166,movies,I’m angry about the unfair treatment,angry
167,general,That remake ruined the original classic,angry
168,movies,That remake ruined the original classic,angry
169,movies,This situation makes no sense to me,confusion
170,sports,This situation makes no sense to me,confusion
171,movies,I’m confused about the new border agreement,confusion
172,geopolitics,This situation makes no sense to me,confusion
173,movies,I’m not sure what the plot was about,confusion
174,geopolitics,I’m not sure what the plot was about,confusion
175,movies,I don’t understand the new rules,confusion
176,sports,I’m confused about the new border agreement,confusion
177,sports,I’m not sure what the plot was about,confusion
178,geopolitics,I’m confused about the new border agreement,confusion
179,geopolitics,I’m confused about the new border agreement,confusion
180,general,I’m confused about the new border agreement,confusion
181,sports,I’m confused about the new border agreement,confusion
182,geopolitics,I don’t understand the new rules,confusion
183,general,This situation makes no sense to me,confusion
184,general,This situation makes no sense to me,confusion
185,general,I support more indie films getting recognition,supportive
186,general,I fully support the climate accord,supportive
187,movies,I support the coach’s decision,supportive
188,geopolitics,I stand with the people affected,supportive
189,sports,I support the coach’s decision,supportive
190,general,I fully support the climate accord,supportive
191,movies,I support more indie films getting recognition,supportive
192,sports,I fully support the climate accord,supportive
193,movies,I stand with the people affected,supportive
194,general,I support the coach’s decision,supportive
195,sports,I support more indie films getting recognition,supportive
196,geopolitics,I fully support the climate accord,supportive
197,geopolitics,I stand with the people affected,supportive
198,geopolitics,I support more indie films getting recognition,supportive
199,movies,I support the coach’s decision,supportive
200,movies,I stand with the people affected,supportive
201,sports,I oppose the new tournament format,opposing
202,general,I oppose the casting choice for the lead role,opposing
203,general,I strongly oppose the trade restrictions,opposing
204,geopolitics,I strongly oppose the trade restrictions,opposing
205,movies,I oppose the casting choice for the lead role,opposing
206,general,I oppose the casting choice for the lead role,opposing
207,general,I oppose the casting choice for the lead role,opposing
208,sports,I strongly oppose the trade restrictions,opposing
209,geopolitics,I oppose the casting choice for the lead role,opposing
210,geopolitics,I oppose the casting choice for the lead role,opposing
211,geopolitics,I’m against this policy change,opposing
212,geopolitics,I oppose the casting choice for the lead role,opposing
213,sports,I strongly oppose the trade restrictions,opposing
214,general,I strongly oppose the trade restrictions,opposing
215,general,I oppose the casting choice for the lead role,opposing
216,geopolitics,I’m against this policy change,opposing
217,sports,I oppose the casting choice for the lead role,opposing
218,movies,blue chair runs softly,irrelevant
219,movies,asdfghjkl zxcvbnm qwerty,irrelevant
220,general,asdfghjkl zxcvbnm qwerty,irrelevant
221,sports,blue chair runs softly,irrelevant
222,geopolitics,win free iPhone now!!!,irrelevant
223,movies,lorem ipsum dolor sit amet,irrelevant
224,geopolitics,lorem ipsum dolor sit amet,irrelevant
225,geopolitics,blue chair runs softly,irrelevant
226,movies,;lkjhgfdsa qwertyuiop,irrelevant
227,sports,;lkjhgfdsa qwertyuiop,irrelevant
228,movies,win free iPhone now!!!,irrelevant
229,geopolitics,1234567890 abcdefghijkl,irrelevant
230,general,blue chair runs softly,irrelevant
231,movies,1234567890 abcdefghijkl,irrelevant
232,sports,win free iPhone now!!!,irrelevant
233,sports,win free iPhone now!!!,irrelevant
234,geopolitics,1234567890 abcdefghijkl,irrelevant
235,movies,buy followers cheap $$$ click here,irrelevant
236,geopolitics,asdfghjkl zxcvbnm qwerty,irrelevant
237,movies,buy followers cheap $$$ click here,irrelevant
238,geopolitics,asdfghjkl zxcvbnm qwerty,irrelevant
239,geopolitics,blue chair runs softly,irrelevant
240,movies,random words without meaning,irrelevant
241,general,lorem ipsum dolor sit amet,irrelevant
242,movies,asdfghjkl zxcvbnm qwerty,irrelevant
243,sports,asdfghjkl zxcvbnm qwerty,irrelevant
244,sports,lorem ipsum dolor sit amet,irrelevant
245,geopolitics,buy followers cheap $$$ click here,irrelevant
246,sports,random words without meaning,irrelevant
247,geopolitics,blue chair runs softly,irrelevant
248,general,win free iPhone now!!!,irrelevant
249,carrer,i love my job,happy
250,Unknown,urrrefbjse jgesfuk,irrelevant
251,Unknown,i love my job,happy
252,Unknown,i love my job,happy
